 Aug-06-2021 16:41:53: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 16:43:07: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 16:44:52: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 16:49:18: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 16:53:33: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 16:53:50: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:00:46: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:01:01: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:01:47: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:01:57: Path: /restaurants/filter, MongooseError: Operation `restaurants.find()` buffering timed out after 10000ms
 Aug-06-2021 17:11:05: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:11:41: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:12:54: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:13:37: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:14:13: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:14:42: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:19:06: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:19:18: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:19:34: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:19:49: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:21:47: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:21:57: Path: /restaurants, MongooseError: Operation `restaurants.find()` buffering timed out after 10000ms
 Aug-06-2021 17:22:05: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:23:31: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:28:29: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:28:40: Path: /restaurants, MongooseError: Operation `restaurants.insertOne()` buffering timed out after 10000ms
 Aug-06-2021 17:28:50: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-06-2021 17:29:00: Path: /restaurants, MongooseError: Operation `restaurants.insertOne()` buffering timed out after 10000ms
 Aug-06-2021 17:29:42: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:37:11: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:38:15: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:39:37: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:41:20: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:41:54: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:43:23: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:43:33: Path: /restaurants/filter, MongooseError: Operation `restaurants.find()` buffering timed out after 10000ms
 Aug-11-2021 11:44:40: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:46:34: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:47:13: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:47:32: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:48:26: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:48:36: Path: /restaurants/60fea0d36423db7aa4440b29, MongooseError: Operation `restaurants.find()` buffering timed out after 10000ms
 Aug-11-2021 11:50:13: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:51:02: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:51:36: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:53:46: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 11:59:04: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
 Aug-11-2021 17:14:05: Path: /restaurants/60ffd0a6f2c054205ebe86c8, SyntaxError: Unexpected token } in JSON at position 31
 Aug-11-2021 17:15:23: Path: /restaurants/60fea0d36423db7aa44, Error: DB Error
